,Location Id,Business Account Number,Ownership Name,DBA Name,Street Address,City,State,Source Zipcode,Business Start Date,Business End Date,Location Start Date,Location End Date,Mail Address,Mail City,Mail Zipcode,Mail State,NAICS Code,NAICS Code Description,Parking Tax,Transient Occupancy Tax,LIC Code,LIC Code Description,Supervisor District,Hoods,Business Corridor,Business Location,UniqueID,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Neighborhoods,Start_Year,Start_Date
77,1280173-06-211,1125393,Sunshine & Baby Inc,Sunshine & Baby,1224 Powell St,San Francisco,CA,94133,06/11/2021,,06/11/2021,,1224 Powell St,San Francisco,94133,CA,4400-4599,Retail Trade,False,False,H03,"Retail Mkts W/o Prep (Under 5,001)",3.0,Chinatown,,POINT (-122.40991 37.79584),1280173-06-211-1125393-4400-4599-06-11-2021,104.0,6.0,3.0,6.0,104.0,2021,2021-06-11
106,1216048-03-191,153221,Shoung Peter & Gloria,Jewelry By Peter,833 Market St Ste 608,San Francisco,CA,94103,11/01/1985,,01/14/2019,,833 Market St 608 Ste,San Francisco,94103,CA,4200-4299,Wholesale Trade,False,False,D19 D39,Multiple,6.0,South of Market,,POINT (-122.40655 37.785084),1216048-03-191-0153221-4200-4299-01-14-2019,32.0,5.0,10.0,34.0,32.0,2019,2019-01-14
118,1194119-07-181,155879,Louie Calvin Y,438-442 Broadway Street,438 Broadway St,San Francisco,CA,94133,01/01/2010,,01/01/2018,,950 Grant Ave 2 Fl,San Francisco,94108,CA,5400-5499,"Professional, Scientific, and Technical Services",False,False,Hhh,,3.0,North Beach,,POINT (-122.40445 37.798176),1194119-07-181-0155879-5400-5499-01-01-2018,106.0,6.0,3.0,23.0,106.0,2018,2018-01-01
195,1177542-01-181,1082975,Pacific Property Ventures,Calista Organic Hotel,1485 Bush St,San Francisco,CA,94109,01/01/2018,,01/01/2018,,1485 Bush St,San Francisco,94109,CA,5300-5399,Real Estate and Rental and Leasing Services,False,True,Hhh,,3.0,Nob Hill,,POINT (-122.42163 37.7885),1177542-01-181-1082975-5300-5399-01-01-2018,50.0,4.0,3.0,21.0,50.0,2018,2018-01-01
248,1245086-02-201,1111366,Nazz Investments Llc,Sidewalk Juice,3100 24th St,San Francisco,CA,94110,02/01/2020,,02/01/2020,,3100 24th St,San Francisco,94110,CA,,,False,False,H24,"Restaurant Less Than 1,000 Sqft",9.0,Mission,,POINT (-122.4142 37.752525),1245086-02-201-1111366--02-01-2020,53.0,3.0,2.0,20.0,53.0,2020,2020-02-01
476,1177609-01-181,1063049,Zee Cooks Inc,Zee Cooks / Creperie Saint Germain,1750 Cesar Chavez  Ste D,San Francisco,CA,94124,10/01/2016,,01/31/2018,,548 Market St Pmb 32273,San Francisco,94104,CA,7220-7229,Food Services,False,False,H30,Catering Facility,10.0,Bayview Hunters Point,,POINT (-122.39434 37.749886),1177609-01-181-1063049-7220-7229-01-31-2018,54.0,2.0,9.0,1.0,54.0,2018,2018-01-31
484,1187429-05-181,438400,City Beer Store Llc,City Beer Store,1148 Mission St,San Francisco,CA,94103,03/03/2009,,05/07/2018,,1148 Mission St,San Francisco,94103,CA,7220-7229,Food Services,False,False,D04 H26,Multiple,6.0,South of Market,,POINT (-122.412025 37.77839),1187429-05-181-0438400-7220-7229-05-07-2018,32.0,1.0,10.0,34.0,32.0,2018,2018-05-07
644,1239108-11-191,1063049,Zee Cooks Inc,Zee Cooks / Creperie Saint Germain,1750 Cesar Chavez  Bldg H,San Francisco,CA,94124,10/01/2016,,11/21/2019,,548 Market St Pmb 32273,San Francisco,94104,CA,7220-7229,Food Services,False,False,H30,Catering Facility,10.0,Bayview Hunters Point,,POINT (-122.39434 37.749886),1239108-11-191-1063049-7220-7229-11-21-2019,54.0,2.0,9.0,1.0,54.0,2019,2019-11-21
833,1253466-06-201,1114851,Susana Alondra Lepe Solis/urias A Hernandez,901 Columbus Cafe,901 Columbus Ave,San Francisco,CA,94133,06/02/2020,,06/10/2020,,901 Columbus Ave,San Francisco,94133,CA,7220-7229,Food Services,False,False,H24,"Restaurant Less Than 1,000 Sqft",3.0,Russian Hill,,POINT (-122.413826 37.80278),1253466-06-201-1114851-7220-7229-06-10-2020,107.0,6.0,3.0,32.0,107.0,2020,2020-06-10
1057,1214161-02-191,1098821,Ramzi Albahu,Pine & Jones Market,1100 Pine St,San Francisco,CA,94109,02/26/2019,,02/26/2019,,1100 Pine St,San Francisco,94109,CA,4400-4599,Retail Trade,False,False,H07 H31,Multiple,3.0,Nob Hill,,POINT (-122.41403 37.790474),1214161-02-191-1098821-4400-4599-02-26-2019,16.0,6.0,3.0,21.0,16.0,2019,2019-02-26
1119,1267287-01-211,1026180,Glenard Alexandre,Glenard Alexandre,3150 18th St,San Francisco,CA,94110,05/05/2015,,01/11/2021,,612 Mariposa Ave #107,Oakland,94610,CA,,,False,False,J02,Body Art Practitioner,9.0,Mission,,POINT (-122.41415 37.762177),1267287-01-211-1026180--01-11-2021,53.0,3.0,2.0,20.0,53.0,2021,2021-01-11
1129,1244071-01-201,478346,Aquitaine Llc,Aquitaine Llc,216 Church St,San Francisco,CA,94114,05/01/2013,,01/01/2020,,216 Church St,San Francisco,94114,CA,7220-7229,Food Services,False,False,H25,"Restaurant 1,000 - 2,000 Sqft",8.0,Castro/Upper Market,,POINT (-122.428955 37.767216),1244071-01-201-0478346-7220-7229-01-01-2020,37.0,3.0,5.0,5.0,37.0,2020,2020-01-01
1187,1179975-02-181,323399,Big Dog City Corp,Luxor Cab,2060 Newcomb Ave,San Francisco,CA,94124,03/04/1998,,02/18/2018,05/01/2022,531 Bay Shore Blvd,San Francisco,94124,CA,4800-4999,Transportation and Warehousing,False,False,Wm12,Multiple,10.0,Bayview Hunters Point,,POINT (-122.39836 37.740128),1179975-02-181-0323399-4800-4999-02-18-2018,85.0,2.0,9.0,1.0,85.0,2018,2018-02-18
1313,1221197-05-191,1101736,Kourosh Razinejad,Strada Pizza,1115 Taraval St,San Francisco,CA,94116,05/09/2019,,05/09/2019,,1115 Taraval St,San Francisco,94116,CA,7220-7229,Food Services,False,False,H24,"Restaurant Less Than 1,000 Sqft",4.0,Sunset/Parkside,,POINT (-122.478065 37.74292),1221197-05-191-1101736-7220-7229-05-09-2019,40.0,10.0,7.0,35.0,40.0,2019,2019-05-09
1350,1252335-05-201,486235,Devil's Teeth Inc,Devils Teeth Inc.,3619 Balboa St,San Francisco,CA,94121,01/15/2014,,02/02/2020,,3876 Noriega St,San Francisco,94122,CA,7220-7229,Food Services,False,False,H25,"Restaurant 1,000 - 2,000 Sqft",1.0,Outer Richmond,,POINT (-122.49758 37.775677),1252335-05-201-0486235-7220-7229-02-02-2020,8.0,8.0,4.0,29.0,8.0,2020,2020-02-02
